POLLSTER,LINK,Start Date,End Date,SAMPLE,MOE,TRUMP (R),HARRIS (D),SPREAD,"TRUMP AVERAGE 
(14-day rolling)","HARRIS AVERAGE
(14-day rolling)","AVERAGE SPREAD
(14-day rolling)"
Yahoo News,,2024-07-19,2024-07-22,1178 RV,—,46,46,Tie,48.23,45.94,Trump +2.29
Quinnipiac,,2024-07-19,2024-07-21,1257 RV,2.8,49,47,Trump +2,48.56,45.75,Trump +2.81
Forbes/HarrisX,,2024-07-19,2024-07-21,2753 RV,1.9,53,47,Trump +6,48.56,45.75,Trump +2.81
SoCal Research/On Po,,2024-07-21,2024-07-21,800 RV,-,51,43,Trump +8,48.56,45.75,Trump +2.81
Echelon Insights,,2024-07-19,2024-07-21,982 LV,-,49,47,Trump +2,48.56,45.75,Trump +2.81
Florida Atlantic Uni,,2024-07-19,2024-07-21,780 RV,-,47.4,42.6,Trump +4.8,48.56,45.75,Trump +2.81
CBS News,,2024-07-16,2024-07-18,2247 LV,2.7,51,48,Trump +3,47.78,45.66,Trump +2.12
YouGov/CBS News,,2024-07-16,2024-07-18,2247 RV,-,51,48,Trump +3,47.78,45.66,Trump +2.12
SoCal Research/On Po,,2024-07-17,2024-07-17,800 LV,-,52,44,Trump +8,47.38,45.36,Trump +2.02
Reuters/Ipsos,,2024-07-15,2024-07-16,992 RV,3.5,44,44,Tie,47,45.49,Trump +1.51
Ipsos/Reuters,,2024-07-16,2024-07-16,992 RV,-,44,44,Tie,47,45.49,Trump +1.51
Morning Consult,,2024-07-15,2024-07-15,2045 RV,2,46,45,Trump +1,46.88,45.24,Trump +1.64
Forbes/HarrisX,,2024-07-13,2024-07-15,1918 RV,2.2,52,48,Trump +4,46.88,45.24,Trump +1.64
SurveyUSA/Joe Cassid,,2024-07-12,2024-07-15,1098 LV,-,45,42,Trump +3,46.88,45.24,Trump +1.64
Manhattan Institute,,2024-07-07,2024-07-13,2100 LV,-,48,46,Trump +2,47.12,45.34,Trump +1.78
Noble Predictive Ins,,2024-07-08,2024-07-11,2535 RV,-,47,43,Trump +4,47.11,45.27,Trump +1.84
NPR/PBS/Marist,,2024-07-09,2024-07-10,1174 RV,3.3,49,50,Harris +1,47.12,45.4,Trump +1.72
FOX News,,2024-07-07,2024-07-10,1210 RV,3,49,48,Trump +1,47.12,45.4,Trump +1.72
Marist College Poll,,2024-07-09,2024-07-10,954 LV,-,49,50,Harris +1,47.12,45.4,Trump +1.72
NBC News,,2024-07-07,2024-07-09,800 RV,3.5,47,45,Trump +2,46.71,44.56,Trump +2.15
ABC News/Wash Post,,2024-07-05,2024-07-09,2041 RV,2,47,49,Harris +2,46.71,44.56,Trump +2.15
Emerson,,2024-07-07,2024-07-08,1370 RV,2.6,49,43,Trump +6,46.67,44.15,Trump +2.52
Emerson College Poll,,2024-07-07,2024-07-08,1370 RV,-,49,42.8,Trump +6.2,46.67,44.15,Trump +2.52
Bendixen & Amandi In,,2024-07-02,2024-07-06,1000 RV,-,41,42,Harris +1,46.2,44.4,Trump +1.80
Data for Progress/Sp,,2024-07-01,2024-07-03,2067 LV,-,46,46,Tie,46.78,44.67,Trump +2.11
Reuters/Ipsos,,2024-07-01,2024-07-02,892 RV,3.5,43,42,Trump +1,46.88,44.5,Trump +2.38
Ipsos/Reuters,,2024-06-30,2024-07-02,1070 RV,-,43,42,Trump +1,46.88,44.5,Trump +2.38
Yahoo News,,2024-06-28,2024-07-01,1171 RV,2.9,47,45,Trump +2,48.17,45.33,Trump +2.84
YouGov/Yahoo News,,2024-06-28,2024-07-01,1176 RV,-,47,45,Trump +2,48.17,45.33,Trump +2.84
CNN,,2024-06-28,2024-06-30,1045 RV,3.7,47,45,Trump +2,48.75,45.5,Trump +3.25
HarrisX/Forbes,,2024-06-28,2024-06-30,1500 RV,-,53,47,Trump +6,48.75,45.5,Trump +3.25
SSRS/CNN,,2024-06-28,2024-06-29,1045 RV,-,47,45,Trump +2,47.5,45,Trump +2.50
Data for Progress (D)**,,2024-06-28,2024-06-28,1011 LV,3,48,45,Trump +3,48,45,Trump +3.00
